total_dist,total_time,avg_speed,min_speed,max_speed,target
958.0,2657.44,2.77,0.0,6.49,2
420.0,655.61,1.56,0.1,5.4,3
7026.0,2686.97,0.38,0.0,5.5,3
1705.0,13012.77,7.63,0.0,20.81,1
291.0,873.24,3.0,0.07,6.56,2
2583.0,16009.76,6.2,0.0,38.31,1
1726.0,111755.12,64.75,6.66,84.1,4
114.0,141.7,1.24,0.11,3.94,3
273.0,1572.99,5.76,0.06,11.86,1
385.0,1230.96,3.2,0.38,7.7,2
1314.0,3395.4,2.58,0.0,9.56,2
25.0,43.21,1.73,0.72,0.98,3
17.0,44.05,2.59,0.43,1.01,3
3453.0,11943.85,3.46,0.3,24.53,1
6602.0,152573.4,23.11,0.0,35.05,4
270.0,287.32,1.06,0.06,2.95,3
311.0,383.74,1.23,0.17,3.55,3
2049.0,1209.33,0.59,0.06,1.9,3
15730.0,149.73,0.01,0.0,5.25,3
1630.0,1533.35,0.94,0.0,5.3,3
1764.0,11026.28,6.25,0.0,34.31,1
582.0,2016.25,3.46,0.07,8.73,2
140.0,232.19,1.66,0.81,3.21,3
38.0,29.61,0.78,0.1,2.32,3
78.0,10.04,0.13,0.0,1.56,3
698.0,2394.29,3.43,0.04,7.86,2
174.0,1415.54,8.14,0.0,20.35,1
47.0,119.08,2.53,0.77,1.39,3
37.0,65.36,1.77,1.47,1.94,3
227.0,542.09,2.39,0.68,4.77,2
10538.0,277522.12,26.34,0.0,41.85,4
412.0,1793.98,4.35,0.04,6.05,2
1963.0,5213.94,2.66,0.13,9.49,2
37932.0,9875.76,0.26,0.01,12.02,2
550.0,1740.23,3.16,0.0,5.59,2
192.0,60.92,0.32,0.16,2.69,3
235.0,188.73,0.8,0.0,4.99,3
525.0,645.95,1.23,0.8,1.32,3
508.0,1271.57,2.5,0.11,4.93,2
300.0,563.95,1.88,0.63,5.61,3
3666.0,2760.09,0.75,0.0,5.93,3
336.0,2864.23,8.52,0.04,16.29,1
1182.0,11811.79,9.99,0.0,21.95,1
1226.0,223.73,0.18,0.0,3.44,3
55.0,80.91,1.47,0.47,3.79,3
87.0,144.45,1.66,1.11,2.04,3
500.0,791.9,1.58,0.2,4.87,3
374.0,2335.31,6.24,0.94,14.78,1
936.0,3600.21,3.85,0.0,13.58,2
3129.0,28426.4,9.08,0.81,19.01,4
1182.0,3174.4,2.69,0.0,13.03,2
190.0,170.12,0.9,0.0,2.03,3
548.0,3790.42,6.92,0.48,32.52,1
494.0,603.36,1.22,0.0,5.22,3
107.0,85.06,0.79,0.37,1.21,3
1783.0,3338.77,1.87,0.0,11.62,2
1050.0,3195.96,3.04,0.0,10.36,2
873.0,1275.2,1.46,0.0,5.04,3
303.0,363.74,1.2,0.0,4.1,3
1192.0,3703.26,3.11,0.04,13.58,2
91.0,123.04,1.35,0.2,3.53,3
682.0,2395.97,3.51,0.06,10.97,2
1757.0,111961.35,63.72,8.41,84.27,4
1447.0,4124.72,2.85,0.0,12.14,2
1138.0,3287.48,2.89,0.06,9.39,2
778.0,1074.48,1.38,0.0,4.2,3
923.0,4653.32,5.04,0.0,19.97,1
812.0,306.77,0.38,0.14,2.47,3
368.0,853.94,2.32,0.0,6.63,2
381.0,506.89,1.33,0.09,1.31,3
334.0,446.13,1.34,0.0,5.96,3
1992.0,2773.53,1.39,0.0,12.4,2
740.0,5359.68,7.24,0.0,19.05,1
711.0,341.22,0.48,0.25,0.55,3
305.0,157.06,0.51,0.0,4.13,3
1683.0,15664.54,9.31,0.04,19.63,1
371.0,665.07,1.79,0.0,9.83,2
1292.0,9222.08,7.14,0.0,18.86,1
145.0,252.6,1.74,1.01,3.5,3
1246.0,1959.33,1.57,0.0,8.0,2
536.0,417.36,0.78,0.0,5.07,3
992.0,3304.18,3.33,0.06,9.25,2
625.0,749.16,1.2,0.0,4.82,3
2950.0,17995.76,6.1,0.0,18.65,1
28.0,31.35,1.12,0.19,4.36,3
140.0,223.06,1.59,0.0,5.25,2
1004.0,3074.17,3.06,0.0,10.49,2
3022.0,10194.2,3.37,0.27,5.83,2
560.0,1341.82,2.4,0.06,8.24,2
1254.0,16699.26,13.32,0.0,22.73,1
395.0,879.62,2.23,0.0,11.58,2
2093.0,4242.85,2.03,0.0,17.21,1
661.0,471.41,0.71,0.14,1.0,3
2320.0,12292.55,5.3,1.03,11.97,2
425.0,556.72,1.31,0.0,3.1,3
1474.0,4083.75,2.77,0.0,13.78,2
1050.0,1353.59,1.29,0.0,4.02,3
13713.0,260371.02,18.99,0.0,34.57,4
13.0,15.94,1.23,0.0,3.78,3
1168.0,2386.03,2.04,0.0,6.62,2
495.0,869.24,1.76,0.28,5.24,3
812.0,2075.28,2.56,1.32,4.66,2
75.0,97.24,1.3,0.65,2.54,3
832.0,2740.06,3.29,0.86,6.28,2
441.0,282.67,0.64,0.0,5.62,3
2029.0,24826.59,12.24,0.0,26.28,1
110.0,135.62,1.23,0.58,1.97,3
7972.0,309317.49,38.8,0.12,56.88,4
403.0,429.71,1.07,0.07,5.36,3
49.0,141.0,2.88,0.0,5.02,2
75.0,122.62,1.63,1.18,1.45,4
50814.0,2230.5,0.04,0.02,12.52,2
588.0,1742.75,2.96,0.12,7.26,2
3823.0,1931.81,0.51,0.13,1.43,3
480.0,635.6,1.32,0.68,1.43,3
1931.0,7661.0,3.97,0.0,7.45,2
3390.0,16758.81,4.94,0.0,21.63,1
47.0,75.52,1.61,0.87,1.8,3
806.0,2761.26,3.43,0.0,8.36,2
142.0,237.87,1.68,1.01,1.32,3
181.0,190.52,1.05,0.0,3.85,3
218.0,296.31,1.36,0.0,5.29,3
1753.0,111896.56,63.83,8.32,83.65,4
60.0,80.41,1.34,0.55,2.16,3
240.0,319.17,1.33,0.1,4.95,3
155.0,199.37,1.29,0.0,2.28,3
318.0,298.6,0.94,0.74,1.09,3
448.0,1223.08,2.73,0.1,9.22,2
3960.0,4157.95,1.05,0.34,6.06,2
368.0,4627.24,12.57,1.89,20.79,1
420.0,569.27,1.36,0.07,5.33,3
933.0,3391.04,3.63,0.0,10.83,2
630.0,1864.69,2.96,0.0,9.17,2
942.0,3686.88,3.91,0.04,10.28,2
80.0,106.63,1.33,0.0,4.42,3
77.0,108.93,1.41,0.65,2.15,3
80.0,147.12,1.84,0.41,3.56,3
302.0,28.27,0.09,0.0,1.05,3
925.0,311.63,0.34,0.0,5.27,3
140.0,301.36,2.15,0.1,3.61,3
1687.0,111130.91,65.87,8.08,84.2,4
380.0,3507.91,9.23,0.0,22.31,1
158.0,231.42,1.46,0.34,3.44,3
80.0,192.02,2.4,0.67,4.52,2
89.0,772.39,8.68,0.41,27.39,4
1334.0,3562.07,2.67,0.0,16.98,1
188.0,286.6,1.52,0.04,4.58,3
540.0,72.8,0.13,0.0,1.87,3
610.0,786.75,1.29,0.0,5.69,3
1184.0,4740.63,4.0,0.0,10.48,2
205.0,313.02,1.53,0.0,4.14,3
110.0,67.2,0.61,0.0,1.35,3
233.0,262.98,1.13,0.0,3.73,3
784.0,2514.44,3.21,0.19,10.39,2
390.0,489.79,1.26,0.38,3.51,3
800.0,222.06,0.28,0.08,0.8,3
932.0,2418.68,2.6,0.33,7.61,2
1743.0,111866.86,64.18,8.49,84.09,4
635.0,851.56,1.34,0.0,4.68,3
739.0,1776.93,2.4,0.0,8.5,2
445.0,3937.59,8.85,0.0,18.25,1
695.0,2092.97,3.01,0.6,8.43,2
748.0,2793.1,3.73,0.0,10.18,2
1498.0,15034.82,10.04,0.53,36.55,1
870.0,2350.47,2.7,0.0,9.83,2
2335.0,1400.18,0.6,0.0,6.0,3
